site_id,datetime,depth,variable,observation
ALEX,2020-01-29T00:00:00Z,NA,depth,5.84975
ALEX,2020-01-29T00:00:00Z,0.5,salt,0.46901356932436805
ALEX,2020-01-29T00:00:00Z,0.5,temperature,22.6
ALEX,2020-01-30T00:00:00Z,NA,depth,5.851416666666666
ALEX,2020-01-30T00:00:00Z,0.5,salt,0.4700074873576641
ALEX,2020-01-30T00:00:00Z,0.5,temperature,23.233333333333334
ALEX,2020-01-31T00:00:00Z,NA,depth,5.848916666666667
ALEX,2020-01-31T00:00:00Z,0.5,salt,0.42839167678767226
ALEX,2020-01-31T00:00:00Z,0.5,temperature,24.575
ALEX,2020-02-01T00:00:00Z,NA,depth,5.898916666666667
ALEX,2020-02-01T00:00:00Z,0.5,salt,0.42068049061182833
ALEX,2020-02-01T00:00:00Z,0.5,temperature,26.575000000000003
ALEX,2020-02-02T00:00:00Z,NA,depth,5.883
ALEX,2020-02-02T00:00:00Z,0.5,salt,0.4497121816286129
ALEX,2020-02-02T00:00:00Z,0.5,temperature,23.741666666666667
ALEX,2020-02-03T00:00:00Z,NA,depth,5.862666666666667
ALEX,2020-02-03T00:00:00Z,0.5,salt,0.47698818864199954
ALEX,2020-02-03T00:00:00Z,0.5,temperature,21.625
ALEX,2020-02-04T00:00:00Z,NA,depth,5.874666666666666
ALEX,2020-02-04T00:00:00Z,0.5,salt,0.47277430231985457
ALEX,2020-02-04T00:00:00Z,0.5,temperature,21.25
ALEX,2020-02-05T00:00:00Z,NA,depth,5.887583333333334
ALEX,2020-02-05T00:00:00Z,0.5,salt,0.4875519384537806
ALEX,2020-02-05T00:00:00Z,0.5,temperature,20.25
ALEX,2020-02-06T00:00:00Z,NA,depth,5.8758333333333335
ALEX,2020-02-06T00:00:00Z,0.5,salt,0.4695143487918907
ALEX,2020-02-06T00:00:00Z,0.5,temperature,20.7
ALEX,2020-02-07T00:00:00Z,NA,depth,5.873333333333333
ALEX,2020-02-07T00:00:00Z,0.5,salt,0.47204925122527214
ALEX,2020-02-07T00:00:00Z,0.5,temperature,21.275
ALEX,2020-02-08T00:00:00Z,NA,depth,5.879666666666666
ALEX,2020-02-08T00:00:00Z,0.5,salt,0.47475413443434283
ALEX,2020-02-08T00:00:00Z,0.5,temperature,21.358333333333334
ALEX,2020-02-09T00:00:00Z,NA,depth,5.876583333333333
ALEX,2020-02-09T00:00:00Z,0.5,salt,0.4887849082153187
ALEX,2020-02-09T00:00:00Z,0.5,temperature,22.5
ALEX,2020-02-10T00:00:00Z,NA,depth,5.882416666666667
ALEX,2020-02-10T00:00:00Z,0.5,salt,0.46727110039295633
ALEX,2020-02-10T00:00:00Z,0.5,temperature,23.066666666666666
ALEX,2020-02-11T00:00:00Z,NA,depth,5.867083333333333
ALEX,2020-02-11T00:00:00Z,0.5,salt,0.45835869306934895
ALEX,2020-02-11T00:00:00Z,0.5,temperature,23.5
ALEX,2020-02-12T00:00:00Z,NA,depth,5.867416666666666
ALEX,2020-02-12T00:00:00Z,0.5,salt,0.4345673263973209
ALEX,2020-02-12T00:00:00Z,0.5,temperature,22.4
ALEX,2020-02-13T00:00:00Z,NA,depth,5.88325
ALEX,2020-02-13T00:00:00Z,0.5,salt,0.42969870322348086
