time,FLOW
2023-07-01T00:00:00Z,397.3858
2023-07-02T00:00:00Z,392.635
2023-07-03T00:00:00Z,330.9606
2023-07-04T00:00:00Z,230.5646
2023-07-05T00:00:00Z,59.1532
2023-07-06T00:00:00Z,68.2595
2023-07-07T00:00:00Z,3.2202
2023-07-08T00:00:00Z,50.0822
2023-07-09T00:00:00Z,263.9726
2023-07-10T00:00:00Z,395.5082
2023-07-11T00:00:00Z,414.1403
2023-07-12T00:00:00Z,390.9685
2023-07-13T00:00:00Z,279.5063
2023-07-14T00:00:00Z,289.1796
2023-07-15T00:00:00Z,389.623
2023-07-16T00:00:00Z,411.9615
2023-07-17T00:00:00Z,355.5018
2023-07-18T00:00:00Z,520.9651
2023-07-19T00:00:00Z,318.6128
2023-07-20T00:00:00Z,305.8189
2023-07-21T00:00:00Z,356.5147
2023-07-22T00:00:00Z,390.4434
2023-07-23T00:00:00Z,479.5979
2023-07-24T00:00:00Z,511.2948
2023-07-25T00:00:00Z,549.7326
2023-07-26T00:00:00Z,567.046
2023-07-27T00:00:00Z,382.3153
2023-07-28T00:00:00Z,238.2384
2023-07-29T00:00:00Z,218.2321
2023-07-30T00:00:00Z,264.612
2023-07-31T00:00:00Z,341.2193
2023-08-01T00:00:00Z,434.3368
2023-08-02T00:00:00Z,476.1225
2023-08-03T00:00:00Z,244.4826
2023-08-04T00:00:00Z,336.2175
2023-08-05T00:00:00Z,422.9525
2023-08-06T00:00:00Z,484.0584
2023-08-07T00:00:00Z,541.3905
2023-08-08T00:00:00Z,485.5507
2023-08-09T00:00:00Z,347.8619
2023-08-10T00:00:00Z,399.8443
2023-08-11T00:00:00Z,418.3619
2023-08-12T00:00:00Z,412.4147
2023-08-13T00:00:00Z,396.904
2023-08-14T00:00:00Z,419.5769
2023-08-15T00:00:00Z,375.2591
2023-08-16T00:00:00Z,261.2238
2023-08-17T00:00:00Z,122.6089
2023-08-18T00:00:00Z,253.1799
2023-08-19T00:00:00Z,352.4742
2023-08-20T00:00:00Z,449.5568
2023-08-21T00:00:00Z,405.2916
2023-08-22T00:00:00Z,504.6418
2023-08-23T00:00:00Z,561.6969
2023-08-24T00:00:00Z,558.3886
2023-08-25T00:00:00Z,535.2566
2023-08-26T00:00:00Z,537.7668
2023-08-27T00:00:00Z,561.8685
2023-08-28T00:00:00Z,427.7698
2023-08-29T00:00:00Z,307.6645
2023-08-30T00:00:00Z,377.894
2023-08-31T00:00:00Z,541.196
2023-09-01T00:00:00Z,610.1783
2023-09-02T00:00:00Z,642.9366
2023-09-03T00:00:00Z,174.206
2023-09-04T00:00:00Z,88.7766
2023-09-05T00:00:00Z,349.0943
2023-09-06T00:00:00Z,184.4461
2023-09-07T00:00:00Z,0.8042
2023-09-08T00:00:00Z,420.948
2023-09-09T00:00:00Z,773.918
2023-09-10T00:00:00Z,796.5363
2023-09-11T00:00:00Z,724.8188
2023-09-12T00:00:00Z,614.9028
2023-09-13T00:00:00Z,571.3337
2023-09-14T00:00:00Z,463.3507
2023-09-15T00:00:00Z,452.1757
2023-09-16T00:00:00Z,453.0524
