"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
-17.25,0,0,5.328,3e-06,5e-10
-17.38,0,0,5.316,3e-06,5e-10
-17.5,0,0,5.303,3e-06,5e-10
-17.62,0,0,5.276,3e-06,5e-10
-17.75,0,0,5.249,3e-06,5e-10
-17.88,0,0,5.223,3e-06,5e-10
-18,0,0,5.196,3e-06,5e-10
-18.12,0,0,5.1,3e-06,5e-10
-18.25,0,0,5.004,3e-06,5e-10
-18.38,0,0,4.909,3e-06,5e-10
-18.5,0,0,4.813,3e-06,5e-10
-18.62,0,0,4.676,3e-06,5e-10
-18.75,0,0,4.539,3e-06,5e-10
-18.88,0,0,4.402,3e-06,5e-10
-19,0,0,4.265,3e-06,5e-10
