"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
-16.57,0,0,8.421,3e-06,5e-10
-16.69,0,0,8.34,3e-06,5e-10
-16.81,0,0,8.258,3e-06,5e-10
-16.93,0,0,8.177,3e-06,5e-10
-17.05,0,0,8.138,3e-06,5e-10
-17.18,0,0,8.152,3e-06,5e-10
-17.3,0,0,8.165,3e-06,5e-10
-17.42,0,0,8.178,3e-06,5e-10
-17.54,0,0,8.154,3e-06,5e-10
-17.66,0,0,8.049,3e-06,5e-10
-17.78,0,0,7.944,3e-06,5e-10
-17.9,0,0,7.839,3e-06,5e-10
-18.02,0,0,7.737,3e-06,5e-10
-18.14,0,0,7.649,3e-06,5e-10
-18.26,0,0,7.56,3e-06,5e-10
-18.38,0,0,7.472,3e-06,5e-10
-18.51,0,0,7.386,3e-06,5e-10
-18.63,0,0,7.357,3e-06,5e-10
-18.75,0,0,7.327,3e-06,5e-10
-18.87,0,0,7.298,3e-06,5e-10
-18.99,0,0,7.269,3e-06,5e-10
-19.11,0,0,7.218,3e-06,5e-10
-19.23,0,0,7.164,3e-06,5e-10
-19.35,0,0,7.111,3e-06,5e-10
-19.47,0,0,7.058,3e-06,5e-10
-19.59,0,0,7.083,3e-06,5e-10
-19.72,0,0,7.13,3e-06,5e-10
-19.84,0,0,7.177,3e-06,5e-10
-19.96,0,0,7.224,3e-06,5e-10
-20.08,0,0,7.261,3e-06,5e-10
-20.2,0,0,7.292,3e-06,5e-10
-20.32,0,0,7.323,3e-06,5e-10
-20.44,0,0,7.354,3e-06,5e-10
-20.56,0,0,7.347,3e-06,5e-10
-20.68,0,0,7.304,3e-06,5e-10
-20.8,0,0,7.261,3e-06,5e-10
-20.92,0,0,7.218,3e-06,5e-10
-21.05,0,0,7.224,3e-06,5e-10
-21.17,0,0,7.311,3e-06,5e-10
-21.29,0,0,7.397,3e-06,5e-10
-21.41,0,0,7.483,3e-06,5e-10
-21.53,0,0,7.552,3e-06,5e-10
-21.65,0,0,7.566,3e-06,5e-10
-21.77,0,0,7.58,3e-06,5e-10
-21.89,0,0,7.594,3e-06,5e-10
-22.01,0,0,7.61,3e-06,5e-10
-22.13,0,0,7.643,3e-06,5e-10
-22.26,0,0,7.676,3e-06,5e-10
-22.38,0,0,7.71,3e-06,5e-10
-22.5,0,0,7.743,3e-06,5e-10
-22.62,0,0,7.662,3e-06,5e-10
-22.74,0,0,7.579,3e-06,5e-10
-22.86,0,0,7.496,3e-06,5e-10
-22.98,0,0,7.413,3e-06,5e-10
