"Depth [m]","U [m/s]","V [m/s]","T [deg C]","k [J/kg]","eps [W/kg]"
-0.1,0,0,5,3e-06,5e-10
-0.5,0,0,5,3e-06,5e-10
-1,0,0,5,3e-06,5e-10
-2,0,0,5,3e-06,5e-10
-3,0,0,5,3e-06,5e-10
-4,0,0,5,3e-06,5e-10
-5,0,0,5,3e-06,5e-10
-6,0,0,5,3e-06,5e-10
-7,0,0,5,3e-06,5e-10
-8,0,0,5,3e-06,5e-10
-9,0,0,5,3e-06,5e-10
